Subscriber,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
1,545,13,42.33639915,-71.07306711,21,42.34652004,-71.08065777,3363,1988,1
1,780,379,42.34254914,-71.07421449,342,42.34465063,-71.09732501,4054,1989,1
0,1309,331,42.33658555,-71.09886996,416,42.36435589,-71.06959369,4492,1984,1
1,181,110,42.376369,-71.114025,89,42.379011,-71.119945,2186,1987,1
1,639,379,42.34254914,-71.07421449,54,42.354979,-71.063348,3736,1993,1
1,1085,417,42.34474225,-71.07648162,143,42.369885,-71.069957,3114,1964,2
1,741,46,42.34366582,-71.08582377,56,42.32984299,-71.08386572,5182,1995,1
1,115,36,42.34992828,-71.07739207,384,42.35155308,-71.07569031,5944,1956,1
0,414,63,42.34404051,-71.05737627,412,42.34303291,-71.0668873,5985,1969,0
1,460,377,42.37927325,-71.10341903,73,42.373231,-71.120886,5663,1996,1
1,1021,55,42.347265,-71.088088,159,42.32760387,-71.1108917,6088,1975,1
1,1190,388,42.40413,-71.0613,91,42.366277,-71.09169,6045,1986,1
1,230,97,42.36919032,-71.11714125,70,42.3722168,-71.12188071,2426,1994,1
1,550,46,42.34366582,-71.08582377,380,42.36135838,-71.09670274,4873,1997,1
1,643,79,42.37842,-71.105668,107,42.3625,-71.08822,2093,1985,1
1,1020,381,42.37438409,-71.10015746,81,42.352409,-71.062679,5081,1976,2
1,138,206,42.35980252,-71.05960783,6,42.36121165,-71.0653062,3169,1995,1
1,185,239,42.39407224,-71.11133695,328,42.39638681,-71.12011306,4361,1983,1
1,817,55,42.347265,-71.088088,131,42.32293117,-71.10014141,4401,2001,1
1,315,189,42.36242784,-71.08495474,84,42.366981,-71.076472,6131,1994,1
1,271,97,42.36919032,-71.11714125,73,42.373231,-71.120886,2934,1980,1
0,653,41,42.352261,-71.123831,80,42.36213123,-71.09115601,4064,1995,1
1,530,68,42.36507,-71.1031,185,42.36544486,-71.08277142,5425,1990,1
1,858,107,42.3625,-71.08822,16,42.34807412,-71.07657015,5196,1974,1
1,967,225,42.37119728,-71.09759867,6,42.36121165,-71.0653062,3845,1995,2
1,446,122,42.345733,-71.100694,331,42.33658555,-71.09886996,2342,2000,1
1,225,67,42.3581,-71.093198,179,42.35560121,-71.10394478,4958,2000,1
1,521,360,42.3294633,-71.0901582,5,42.341814,-71.090179,3473,1997,1
